Player,Pos,Age,Cap Hit,Cap Hit Pct,Dead Cap,Cash Total,Free Agent,status
Anim Dankwah,LT,24,241666.0,0.09,,,,DeadCap
Kendall Milton,RB,22,233333.0,0.09,,,,DeadCap
Gottlieb Ayedze,RT,24,230000.0,0.09,,,,DeadCap
McCallan Castles,TE,25,210000.0,0.08,,,,DeadCap
Andre’ Sam,S,25,200833.0,0.08,,,,DeadCap
C.J. Uzomah,TE,31,191700.0,0.08,,,,DeadCap
Khari Blasingame,FB,28,187500.0,0.07,,,,DeadCap
Shaq Davis,WR,24,187500.0,0.07,,,,DeadCap
Jacob Harris,WR,27,185834.0,0.07,,,,DeadCap
Zech McPhearson,CB,26,182413.0,0.07,,,,DeadCap
E.J. Jenkins,TE,26,175000.0,0.07,,,,DeadCap
John Ross,WR,30,168000.0,0.07,,,,DeadCap
Will Grier,QB,29,168000.0,0.07,,,,DeadCap
Gabe Hall,DE,23,158701.0,0.06,,,,DeadCap
Kyle Philips,WR,25,150000.0,0.06,,,,DeadCap
Marcus Rosemy-Jacksaint,WR,22,150000.0,0.06,,,,DeadCap
E.J. Jenkins,TE,26,149167.0,0.06,,,,DeadCap
Patrick Johnson,OLB,25,143691.0,0.06,,,,DeadCap
Jack Driscoll,G,27,134400.0,0.05,,,,DeadCap
Parris Campbell,WR,27,125000.0,0.05,,,,DeadCap
Jack Driscoll,G,27,125000.0,0.05,,,,DeadCap
Tariq Castro-Fields,CB,25,125000.0,0.05,,,,DeadCap
Austin Watkins,WR,26,125000.0,0.05,,,,DeadCap
David Anenih,DE,25,112500.0,0.04,,,,DeadCap
Kyron Johnson,LB,26,104964.0,0.04,,,,DeadCap
Parris Campbell,WR,27,100800.0,0.04,,,,DeadCap
Parris Campbell,WR,27,100800.0,0.04,,,,DeadCap
Tarron Jackson,OLB,26,100000.0,0.04,,,,DeadCap
Dallas Gant,ILB,24,88334.0,0.03,,,,DeadCap
JT Woods,S,24,87500.0,0.03,,,,DeadCap
Jack Stoll,TE,26,75411.0,0.03,,,,DeadCap
K.J. Henry,DE,25,75000.0,0.03,,,,DeadCap
Caden Sterns,S,25,67200.0,0.03,,,,DeadCap
John Ross,WR,30,62500.0,0.02,,,,DeadCap
Nick Gates,C,29,62500.0,0.02,,,,DeadCap
Parris Campbell,WR,27,62500.0,0.02,,,,DeadCap
Ochaun Mathis,OLB,25,50833.0,0.02,,,,DeadCap
Marlon Tuipulotu,DT,25,48979.0,0.02,,,,DeadCap
Dylan McMahon,C,25,46525.0,0.02,,,,DeadCap
Jack Stoll,TE,26,33600.0,0.01,,,,DeadCap
Kevin Foelsch,TE,,25000.0,0.01,,,,DeadCap
Joseph Ngata,WR,23,20000.0,0.01,,,,DeadCap
Ben VanSumeren,LB,24,20000.0,0.01,,,,DeadCap
Nick Gates,C,29,16800.0,0.01,,,,DeadCap
Caden Sterns,S,25,16800.0,0.01,,,,DeadCap
Caden Sterns,S,25,16800.0,0.01,,,,DeadCap
Ian Book,QB,26,12500.0,0.0,,,,DeadCap
Brandon Smith,ILB,23,12500.0,0.0,,,,DeadCap
Siaki Ika,DT,24,12500.0,0.0,,,,DeadCap
Siaki Ika,DT,24,12500.0,0.0,,,,DeadCap
Braeden Daniels,LT,24,12500.0,0.0,,,,DeadCap
Lew Nichols III,RB,23,12500.0,0.0,,,,DeadCap
Mekhi Garner,CB,24,12500.0,0.0,,,,DeadCap
Griffin Hebert,TE,25,12500.0,0.0,,,,DeadCap
Dylan McMahon,C,25,12500.0,0.0,,,,DeadCap
Kevin Foelsch,TE,,12500.0,0.0,,,,DeadCap
Kevin Foelsch,TE,,12500.0,0.0,,,,DeadCap
Tristin McCollum,CB,25,12500.0,0.0,,,,DeadCap
P.J. Mustipher,DT,25,12500.0,0.0,,,,DeadCap
Mekhi Garner,CB,24,11666.0,0.0,,,,DeadCap
Ty Zentner,P,26,10000.0,0.0,,,,DeadCap
Jadon Haselwood,WR,23,8334.0,0.0,,,,DeadCap
Trevor Reid,T,24,6667.0,0.0,,,,DeadCap
Brady Russell,TE,26,5334.0,0.0,,,,DeadCap
Noah Elliss,DT,25,3334.0,0.0,,,,DeadCap
Josh Jobe,CB,26,3334.0,0.0,,,,DeadCap
Josh Sills,G,26,3334.0,0.0,,,,DeadCap
Kevin Foelsch,TE,,1771.0,0.0,,,,DeadCap
